id	word	grammar	preverbs	meanings
316	aurdhvaṃdamika	adj		belonging to an elevated or upright person or thing
317	aurdhvabhaktika	adj		used or applied after a meal
318	aurdhvasadmana	n		name of a Sāman
319	aurdhvasrotasika	m		Shaiva
320	aurmileya	m		descendant of UrmilA
321	aurmya	m		a particular personification
322	aurva	m		a descendant of ￗrva; name of a Rṣi; the submarine fire = vaḍavāmukha
323	aurvadahana	m		submarine fire
324	aurvāgni	m		submarine fire
326	aurva	adj		relating to the earth; of the earth
327	aurva	n		fossil salt; [min.] = pāṃśulavaṇa
328	aurvara	adj		relating to or coming from the earth; coming from the ground (as dust)
329	aurvaśeya	m		a descendant of Urvaśī; name of Agastya
330	aula	m		Arum Campanulatum
331	aulapi	m		name of a warrior-tribe
332	aulapin	m		school of Ulapa
333	aulapīya	m		king of the Aulapis above
334	aulabhīya	m		king of the Ulabhas
335	aulāna	m		name of Śāntanava
336	aulūka	m		name of a village
337	aulūka	n		number of owls
338	aulūkīya	adj		
339	aulūkya	m		descendant of UlUka; follower of the VaiSeshika doctrine
340	aulūkyadarśana	n		name of the VaiSeshika system
341	aulūkhala	adj		coming from a mortar; ground or pounded in a mortar
342	aulūkhala	m		mortar and pestle; a mortar
343	aulvaṇya	n		excess; superabundance (?)
344	auveṇaka	n		kind of song
345	auśata	m		descendant of USata
346	auśana	adj		
347	auśana	n		name of several Sāmans
348	auśanasa	adj		relating to or originating from Uśanas; peculiar to Ushanas
349	auśanasa	m		descendant of Ushanas
350	auśanasa	n		the lawbook of Uśanas; name of an Upapurāṇa; name of a TIrtha
351	auśanasya	adj		originating from USanas
352	auśāna	adj		wishing for; desirous
353	auśija	adj		desirous; zealous; wishing
354	auśīnara	adj		belonging to the USInaras
355	auśīnarī	f		name of a wife of PurUravas
356	auśīnari	m		king of the USInaras
357	auśīra	adj		made of USIra
358	auśīra	n		stick which serves as a handle to the cow's tail used as a fan or chowri.); the cow's tail used as a fan; chowri; unguent made of USIra; bed (used also as a seat); seat
359	auśīrikā	f		shoot (of a plant); basin; bowl
360	auṣaṇa	n		pungency
361	auṣaṇaśauṇḍī	f		black pepper
362	auṣadaśvi	m		descendant of OshadaSva; name of Vasumat
363	auṣadha	adj		consisting of herbs; relating to herbs
364	auṣadhī	f		name of Dhākṣāyaṇī; Heilkraut
365	auṣadha	n		herbs collectively; herb; herbs used in medicine; simples; medicament; drug; medicine in general; mineral; vessel for herbs
366	auṣadhapeṣaka	m		one who grinds or pounds medicaments
367	auṣadhāvala	m		name of a medical work composed by PrAnakRzZa
368	auṣadhīya	adj		medicinal; consisting of herbs
369	auṣara	n		fossil salt; iron stone; [min.] = pāṃśuja
370	auṣaraka	n		fossil salt
371	auṣasa	adj		relating to dawn; early; matutinal
372	auṣasī	f		daybreak; morning
373	auṣasa	n		name of several SAmans
374	auṣasika	adj		walking out at daybreak; early; matutinal
375	auṣika	adj		matutinal
376	auṣastya	adj		relating to or treating of the sage Ushasti
377	auṣṭra	adj		relating to or coming from a camel; abounding in camels or buffaloes (as a country)
378	auṣṭra	n		skin of a buffalo; camel genus; camel-nature
379	auṣṭraka	adj		coming from a camel
380	auṣṭraka	n		herd or multitude of camels
381	auṣṭraratha	adj		belonging to a carriage drawn by camels (as a wheel)
382	auṣṭrākṣi	m		descendant of Uzfrﾃkza; name of a teacher
383	auṣṭrāyaṇa	m		descendant of Uzfra
384	auṣṭrika	adj		coming from a camel (as milk); oil-miller
385	auṣṭha	adj		lip-shaped; supplied with lips
386	auṣṇiha	adj		in the Uṣṇih metre; beginning with an Uṣṇih
387	auṣṇīka	m		name of a people
388	auṣṇya	n		heat; warmth; burning
389	auṣmya	n		heat
390	kakāra	m		letter or sound ka
391	kavat	adj		having the word ka
393	ka	n		who?
394	ka	m		(according to native authorities) name of Prajāpati or of a Prajāpati; name of Brahman; name of Dakza; name of Viṣṇu; name of Yama; name of Garuda; soul; particular comet; sun; fire; splendour; light; air; peacock; body; time; wealth; sound; king; der Laut ka; [gramm.] a kṛt affix; [gramm.] a taddhita affix
395	ka	n		happiness; joy; head; hair; prosperity
396	kaja	adj		produced in or by water; watery; aquatic
397	kaja	n		lotus; name of Brahmā
398	kada	m		cloud
399	kaṃvūla	n		(in astrol.) name of the eighth Yoga
400	kaṃsa	m		vessel made of metal; drinking vessel; cup; goblet; a particular measure; metal; tutanag or white copper; brass; bell-metal; name of a king of Mathurā; son of Ugrasena and cousin of the DevakI who was mother of Kṛṣṇa; name of a place
402	kaṃsā	f		name of a sister of Kaṃsa
403	kaṃsakāra	m		worker in white copper or brass
404	kaṃsakeśīniṣūdana	m		destroyer or conqueror of KaMsa and Keshin; name of Krishna
407	kaṃsamardana	m		
410	kaṃsaniṣūdana	m		name of a man
411	kaṃsapātra	n		particular measure haka)
412	kaṃsamākṣika	m		metallic substance in large grains; sort of pyrites
413	kaṃsayajña	m		particular sacrifice
