id	word	wordnet21id	wordnetSupersenseId	wordnetSupersenseName
906	curve	a baseball thrown with spin so that its path curves as it approach the batter	_	_	_
907	duster	a pitch thrown deliberately close to the batter	00105	04	act
908	fastball	a baseball thrown with maximum velocity; "he swung late on the fastball"; "He showed the batters nothing but smoke"	_	_	_
909	knuckleball	a baseball pitch thrown with little speed or spin	00105	04	act
910	screwball	a pitch with reverse spin that curves toward the side of the plate from which it was thrown	00106	04	act
911	sinker	a pitch that curves downward rapidly as it approaches the plate	00106	04	act
912	slider	a fastball that curves slightly away from the side from which it was thrown	00106	04	act
913	strike	a pitch that is in the strike zone and that the batter does not hit; "this pitcher throws more strikes than balls"	_	_	_
914	submarine ball	a pitch thrown sidearm instead of overhead	00107	04	act
915	wild pitch	a pitch that the catcher cannot stop	_	_	_
916	basketball shot	throwing the basketball toward the hoop; "his shot hit the rim and bounced out"	00107	04	act
917	bank shot	a shot that bounces off of the backboard	_	_	_
918	dunk	a shot in which the basketball is propelled downward into the basket	_	_	_
919	slam-dunk	a forceful dunk	_	_	_
920	finger-roll	a shot that rolls off the tips of the fingers into the basket	_	_	_
921	foul shot	an unhindered shot from the foul line; given to penalize the other team for committing a foul	_	_	_
922	one-and-one	a foul shot that must be made in order to earn the right to a second foul shot	00108	04	act
923	hook shot	a shot made over the head with the hand that is farther from the basket	_	_	_
924	jumper	a player releases the basketball at the high point of a jump	_	_	_
925	lay up	a shot made from a position under or beside the basket	_	_	_
926	pivot shot	a one-handed shot made while whirling on the pivot foot	_	_	_
927	set shot	a two-handed shot from a stationary position	_	_	_
928	scoop shot	a shot made with an underhand scooping motion	_	_	_
929	tip in	a shot made by tapping the rebounding ball back into the basket	_	_	_
930	push	the act of applying force in order to move something away; "he gave the door a hard push"; "the pushing is good exercise"	00109	04	act
931	depression	pushing down; "depression of the space bar on the typewriter"	00109	04	act
932	click	depression of a button on a computer mouse: "a click on the right button for example"	_	_	_
933	nudge	a slight push	_	_	_
934	press	the act of pressing; "he gave the button a press"; "he used pressure to stop the bleeding"	_	_	_
935	shove	the act of shoving (giving a push to someone or something); "he gave the door a shove"	00111	04	act
936	bundling	the act of shoving hastily; "she complained about bundling the children off to school"	00111	04	act
937	jostle	the act of jostling (forcing your way by pushing)	00111	04	act
938	elbowing	jostling with the elbows	_	_	_
939	pull	the act of pulling; applying force to move something toward or with you; "the pull up the hill had him breathing harder"; "his strenuous pulling strained his back"	00111	04	act
940	drag	the act of dragging (pulling with force); "the drag up the hill exhausted him"	00112	04	act
941	draw	the act of drawing or hauling something; "the haul up the hill went very slowly"	00112	04	act
942	tow	the act of hauling something (as a vehicle) by means of a hitch or rope; "the truck gave him a tow to the garage"	00112	04	act
943	tug	a sudden abrupt pull	00112	04	act
944	draft	the act of moving a load by drawing or pulling	00113	04	act
945	pluck	the act of pulling and releasing a taut cord	00113	04	act
946	lift	the act of raising something; "he responded with a lift of his eyebrow"; "fireman learn several different raises for getting ladders up"	00113	04	act
947	expulsion	the act of expelling or projecting or ejecting	00114	04	act
948	accommodation reflex	reflex changes in the eyes that enable an object to be focused on the retina	00114	04	act
949	Babinski	extension upward of the toes when the sole of the foot is stroked firmly on the outer side from the heel to the front; normal in infants under the age of 2 years but a sign of brain or spinal cord injury in older persons	_	_	_
950	belch	a reflex that expels wind noisily from the stomach through the mouth	00114	04	act
951	belching	the forceful expulsion of something from inside; "the belching of smoke from factory chimneys"	00115	04	act
952	blink	a reflex that closes and opens the eyes rapidly	00115	04	act
953	coughing up	the act of expelling (food or phlegm) by coughing	00115	04	act
954	spit	the act of spitting (forcefully expelling saliva)	00115	04	act
955	vomit	the act of ejecting the contents of the stomach through the mouth	_	_	_
956	cough	the act of exhaling air suddenly with a noise	00116	04	act
957	jump	the act of jumping; propelling yourself off the ground; "he advanced in a series of jumps"; "the jumping was unexpected"	00117	04	act
958	header	a headlong jump (or fall); "he took a header into the shrubbery"	00117	04	act
959	hop	the act of hopping (jumping upward or forward (especially on one foot))	_	_	_
960	leap	a light springing movement upwards or forwards	_	_	_
961	vault	the act of vaulting	_	_	_
962	jumping up and down	jumping in one spot (as in excitement); "the wailing and jumping up and down exhausted him"	00118	04	act
963	lob	the act of propelling something (as a ball or shell etc.) in a high arc	00118	04	act
964	centering	(football) putting the ball in play by passing it (between the legs) to a back	_	_	_
965	sending	causing something to go; "the cost of sending their children to college"	_	_	_
966	transmission	the act of sending a message; causing a message to be transmitted	00118	04	act
967	forwarding	the act of sending on to an ultimate destination; "the forwarding of mail to a new address is done automatically"	_	_	_
968	mailing	the transmission of a letter; "the postmark indicates the time of mailing"	00119	04	act
